iter	Passed	Remaining
976	13951	328
977	13962	314
978	13974	299
979	13983	285
980	13993	271
981	14003	256
982	14012	242
983	14022	228
984	14031	213
985	14041	199
986	14051	185
987	14061	170
988	14071	156
989	14083	142
990	14093	127
991	14104	113
992	14117	99
993	14132	85
994	14144	71
995	14154	56
996	14174	42
997	14184	28
998	14196	14
999	14215	0
	14600	73
995	14611	58
996	14624	44
997	14634	29
998	14651	14
999	14660	0
15675	158
990	15694	142
991	15707	126
992	15721	110
993	15734	94
994	15747	79
995	15761	63
996	15773	47
997	15788	31
998	15802	15
999	15815	0
06
981	21007	385
982	21022	363
983	21037	342
984	21055	320
985	21072	299
986	21090	277
987	21113	256
988	21137	235
989	21153	213
990	21170	192
991	21186	170
992	21201	149
993	21218	128
994	21234	106
995	21251	85
996	21265	63
997	21280	42
998	21294	21
999	21311	0
