,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_selector__k,param_selector__score_func,params
25,0.9013921113689095,0.9025522041763341,0.8816705336426914,0.9140534262485482,0.8861788617886179,0.8971680594243269,0.011770587158097583,34,0.5315057754516601,0.038221386230840815,0.03843159675598144,0.007755153008968352,65,<function f_classif at 0x0000022044766700>,"OrderedDict([('selector__k', 65), ('selector__score_func', <function f_classif at 0x0000022044766700>)])"
26,0.9083526682134571,0.8990719257540604,0.894431554524362,0.8954703832752613,0.8826945412311266,0.8960074280408542,0.008267448165234016,38,31.363087558746336,0.37517239403351443,0.05049839019775391,0.006671581916148044,134,<function mutual_info_classif at 0x0000022044786310>,"OrderedDict([('selector__k', 134), ('selector__score_func', <function mutual_info_classif at 0x0000022044786310>)])"
27,0.9083526682134571,0.9025522041763341,0.894431554524362,0.9094076655052264,0.8792102206736353,0.8987929433611885,0.011139207823414748,33,35.509980249404904,0.11489330987534374,0.03825383186340332,0.012963890674872806,184,<function mutual_info_classif at 0x0000022044786310>,"OrderedDict([('selector__k', 184), ('selector__score_func', <function mutual_info_classif at 0x0000022044786310>)])"
28,0.9037122969837587,0.9106728538283063,0.9002320185614849,0.9140534262485482,0.8850174216027874,0.9027390900649953,0.010119027755296427,19,0.6408051490783692,0.022256778428139112,0.03906264305114746,0.008440905052349464,115,<function f_classif at 0x0000022044766700>,"OrderedDict([('selector__k', 115), ('selector__score_func', <function f_classif at 0x0000022044766700>)])"
29,0.9164733178654292,0.9037122969837587,0.8955916473317865,0.9140534262485482,0.8885017421602788,0.9036675951717734,0.010648466337876202,14,1.0474162578582764,0.04332758225051519,0.04552268981933594,0.006634331077840202,232,<function f_classif at 0x0000022044766700>,"OrderedDict([('selector__k', 232), ('selector__score_func', <function f_classif at 0x0000022044766700>)])"
30,0.9118329466357309,0.9083526682134571,0.8955916473317865,0.9001161440185831,0.8954703832752613,0.9022748375116063,0.0066928001992265975,24,0.7806437015533447,0.02669206190240981,0.03607749938964844,0.006902195485726083,171,<function f_classif at 0x0000022044766700>,"OrderedDict([('selector__k', 171), ('selector__score_func', <function f_classif at 0x0000022044766700>)])"
31,0.9083526682134571,0.9071925754060325,0.9025522041763341,0.9152148664343787,0.8873403019744484,0.9041318477251625,0.009318796675130607,8,1.2324949741363525,0.041119407271636425,0.04749250411987305,0.000933476983909021,300,<function f_classif at 0x0000022044766700>,"OrderedDict([('selector__k', 300), ('selector__score_func', <function f_classif at 0x0000022044766700>)])"
32,0.9164733178654292,0.9083526682134571,0.8932714617169374,0.9128919860627178,0.8943089430894309,0.9050603528319405,0.009560409738888864,4,1.0227074146270752,0.03451346673448891,0.037981605529785155,0.007699683904484581,232,<function f_classif at 0x0000022044766700>,"OrderedDict([('selector__k', 232), ('selector__score_func', <function f_classif at 0x0000022044766700>)])"
33,0.9106728538283063,0.9083526682134571,0.9071925754060325,0.9140534262485482,0.8966318234610917,0.9073816155988857,0.005861331417771323,1,1.046605396270752,0.03920384054278659,0.04882822036743164,0.009829032789033035,234,<function f_classif at 0x0000022044766700>,"OrderedDict([('selector__k', 234), ('selector__score_func', <function f_classif at 0x0000022044766700>)])"
34,0.9106728538283063,0.9095127610208816,0.8979118329466357,0.9175377468060395,0.8861788617886179,0.904363974001857,0.01106243787301834,7,1.0716307640075684,0.043433182721468025,0.04927072525024414,0.0012998321485833883,233,<function f_classif at 0x0000022044766700>,"OrderedDict([('selector__k', 233), ('selector__score_func', <function f_classif at 0x0000022044766700>)])"
35,0.91415313225058,0.9025522041763341,0.8979118329466357,0.9105691056910569,0.8931475029036005,0.9036675951717734,0.007779194484362696,14,1.093216848373413,0.050169400485063416,0.03826584815979004,0.007634726493423083,235,<function f_classif at 0x0000022044766700>,"OrderedDict([('selector__k', 235), ('selector__score_func', <function f_classif at 0x0000022044766700>)])"
36,0.9164733178654292,0.9106728538283063,0.8967517401392111,0.9047619047619048,0.8803716608594657,0.9018105849582173,0.012548204868196144,26,31.55020408630371,0.37522345406066515,0.05074667930603027,0.012316834148724408,240,<function mutual_info_classif at 0x0000022044786310>,"OrderedDict([('selector__k', 240), ('selector__score_func', <function mutual_info_classif at 0x0000022044786310>)])"
37,0.9060324825986079,0.9095127610208816,0.894431554524362,0.908246225319396,0.8815331010452961,0.8999535747446611,0.010646082189473514,30,32.253638696670535,0.13934553383191156,0.05802655220031738,0.012356936735271143,275,<function mutual_info_classif at 0x0000022044786310>,"OrderedDict([('selector__k', 275), ('selector__score_func', <function mutual_info_classif at 0x0000022044786310>)])"
38,0.9071925754060325,0.9060324825986079,0.8979118329466357,0.9117305458768873,0.8943089430894309,0.903435468895079,0.0063779399123016665,16,0.9964920997619628,0.05623539087601948,0.044548988342285156,0.006170806697687717,221,<function f_classif at 0x0000022044766700>,"OrderedDict([('selector__k', 221), ('selector__score_func', <function f_classif at 0x0000022044766700>)])"
39,0.9048723897911833,0.9129930394431555,0.8921113689095128,0.9094076655052264,0.8943089430894309,0.9027390900649953,0.008224391573661706,19,1.0439816951751708,0.04974422078108609,0.03565745353698731,0.006533271125560647,246,<function f_classif at 0x0000022044766700>,"OrderedDict([('selector__k', 246), ('selector__score_func', <function f_classif at 0x0000022044766700>)])"
40,0.8979118329466357,0.9060324825986079,0.8723897911832946,0.9105691056910569,0.8861788617886179,0.8946146703806871,0.013863317891394108,41,1.3031167030334472,0.03619123702553327,0.04782347679138184,0.01030774614520522,300,<function chi2 at 0x0000022044766A60>,"OrderedDict([('selector__k', 300), ('selector__score_func', <function chi2 at 0x0000022044766A60>)])"
41,0.9048723897911833,0.9013921113689095,0.8805104408352669,0.8977932636469221,0.8873403019744484,0.8943825441039925,0.009087936226953376,43,0.7979279041290284,0.014494984586372944,0.04556598663330078,0.0062913471168889986,174,<function chi2 at 0x0000022044766A60>,"OrderedDict([('selector__k', 174), ('selector__score_func', <function chi2 at 0x0000022044766A60>)])"
42,0.9083526682134571,0.9060324825986079,0.9013921113689095,0.908246225319396,0.8931475029036005,0.903435468895079,0.005727315823058625,16,0.94142746925354,0.04401196242295619,0.05880937576293945,0.008585467406877658,215,<function f_classif at 0x0000022044766700>,"OrderedDict([('selector__k', 215), ('selector__score_func', <function f_classif at 0x0000022044766700>)])"
43,0.9176334106728539,0.9048723897911833,0.8921113689095128,0.9128919860627178,0.89198606271777,0.903899721448468,0.010500657261284994,10,0.7291081428527832,0.04284416349136384,0.03558611869812012,0.006554281592664601,144,<function f_classif at 0x0000022044766700>,"OrderedDict([('selector__k', 144), ('selector__score_func', <function f_classif at 0x0000022044766700>)])"
44,0.9025522041763341,0.9013921113689095,0.8805104408352669,0.8989547038327527,0.8861788617886179,0.8939182915506035,0.008894062455189249,44,0.5585213661193847,0.033486764531975834,0.029298925399780275,0.006791168710740845,77,<function chi2 at 0x0000022044766A60>,"OrderedDict([('selector__k', 77), ('selector__score_func', <function chi2 at 0x0000022044766A60>)])"
45,0.9153132250580046,0.9048723897911833,0.8955916473317865,0.9117305458768873,0.8873403019744484,0.9029712163416899,0.01030847341343193,18,31.536049127578735,0.14335767461776497,0.047989702224731444,0.010279374562263877,300,<function mutual_info_classif at 0x0000022044786310>,"OrderedDict([('selector__k', 300), ('selector__score_func', <function mutual_info_classif at 0x0000022044786310>)])"
46,0.9095127610208816,0.91415313225058,0.9013921113689095,0.9117305458768873,0.8931475029036005,0.9059888579387186,0.007719837505045797,2,1.321013832092285,0.02581138625947357,0.050097084045410155,0.005597045914347108,300,<function f_classif at 0x0000022044766700>,"OrderedDict([('selector__k', 300), ('selector__score_func', <function f_classif at 0x0000022044766700>)])"
47,0.9071925754060325,0.9083526682134571,0.9013921113689095,0.9117305458768873,0.89198606271777,0.9041318477251625,0.0069256480946130764,8,1.3249478340148926,0.027440474676545173,0.05099873542785645,0.012151163542213182,300,<function f_classif at 0x0000022044766700>,"OrderedDict([('selector__k', 300), ('selector__score_func', <function f_classif at 0x0000022044766700>)])"
48,0.9083526682134571,0.9071925754060325,0.8932714617169374,0.9059233449477352,0.8861788617886179,0.9001857010213556,0.008861499354227977,28,0.6407674789428711,0.030917716807822997,0.04636106491088867,0.006390193264949683,105,<function f_classif at 0x0000022044766700>,"OrderedDict([('selector__k', 105), ('selector__score_func', <function f_classif at 0x0000022044766700>)])"
49,0.9048723897911833,0.9037122969837587,0.8955916473317865,0.9059233449477352,0.8908246225319396,0.9001857010213556,0.005932949165423646,28,38.401473951339725,0.27014586332290724,0.05899820327758789,0.009282195074856569,222,<function mutual_info_classif at 0x0000022044786310>,"OrderedDict([('selector__k', 222), ('selector__score_func', <function mutual_info_classif at 0x0000022044786310>)])"
